;Worldwide Navaid Database for PSS
;Exported via DFD v1.0 13.0401
;Software copyright (c) 2013 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;This data is copyrighted and may not be used, recompiled, interpreted or
;distributed for any purpose without the written consent
;of Navigraph.
;
;The contents of this database is dated and must not be
;used for real world navigation as it is unlawful and
;unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1304 (04/APR/2013 - 01/MAY/2013) - Ver.1
AYSL  -9.961050 151.162133 4     ;SEHULEA
AYTA  -5.844822 142.947436 5490  ;TARI
AYTB  -5.279839 141.227094 1568  ;TABUBIL
AYTE  -5.129283 141.637367 4909  ;TELEFOMIN
AYTI  -8.358167 146.993834 3151  ;TAPINI
AYTJ  -3.195600 142.424817 15    ;TADJI
AYTK  -4.340422 152.379686 34    ;TOKUA
AYVN  -2.697117 141.302283 22    ;VANIMO
AYWD  -5.635317 143.892317 5889  ;WAPENAMANDA
AYWG  -9.336800 149.152450 56    ;WANIGELA
AYWK  -3.583792 143.669175 19    ;BORAM
AYWQ  -5.875000 155.233333 10    ;WAKUNAI
AYWT  -8.549883 147.255517 5162  ;WOITAPE
BGAA  68.721847 -52.784747 74    ;AASIAAT
BGBW  61.160719 -45.425675 112   ;NARSARSUAQ
BGCO  70.743083 -22.650556 45    ;NERLERIT INAAT
BGGH  64.190922 -51.678064 283   ;NUUK
BGJN  69.243217 -51.057111 95    ;ILULISSAT
BGKK  65.573611 -37.123611 117   ;KULUSUK
BGMQ  65.412464 -52.939420 91    ;MANIITSOQ
BGNO  81.609000 -16.677167 80    ;STATION NORD
BGPT  62.014736 -49.670936 120   ;PAAMIUT
BGQQ  77.488650 -69.388731 51    ;QAANAAQ
BGSF  67.016969 -50.689325 165   ;KANGERLUSSUAQ
BGSS  66.951289 -53.729320 33    ;SISIMIUT
BGTL  76.531203 -68.703161 251   ;THULE AB
BGUK  72.790189 -56.130586 414   ;UPERNAVIK
BGUQ  70.734231 -52.696203 289   ;QAARSUT
BIAR  65.658611 -18.072222 9     ;AKUREYRI
BIBA  63.556111 -20.137500 33    ;BAKKI
BIBD  65.641389 -23.546111 26    ;BILDUDALUR
BIBL  65.645000 -20.287500 131   ;BLONDUOS
BIBV  64.790000 -14.022778 8     ;BREIDDALSVIK
BIEG  65.283333 -14.401389 75    ;EGILSSTADIR
BIGJ  65.995278 -21.326945 90    ;GJOGUR
BIGR  66.554722 -18.017500 81    ;GRIMSEY
BIHK  65.704722 -21.696389 90    ;HOLMAVIK
BIHN  64.295556 -15.227222 24    ;HORNAFJORDUR
BIHU  65.952500 -17.425833 48    ;HUSAVIK
BIIS  66.058056 -23.135278 8     ;ISAFJORDUR
BIKF  63.985000 -22.605556 171   ;KEFLAVIK
BIKP  66.310833 -16.466667 20    ;KOPASKER
BIKR  65.731667 -19.572778 8     ;SAUDARKROKUR
BINF  65.131944 -13.746389 5     ;NORDFJORDUR
BIRF  64.911389 -23.823056 18    ;RIF
BIRG  66.406389 -15.918334 63    ;RAUFARHOFN
BIRK  64.130000 -21.940556 45    ;REYKJAVIK
BIRL  65.655833 -16.918056 1031  ;REYKJAHLID
BISF  63.929167 -21.037778 47    ;SELFOSS
BISI  66.133333 -18.916667 10    ;SIGLUFJORDUR
BIST  65.058056 -22.794167 42    ;STYKKISHOLMUR
BITE  65.870278 -23.559722 28    ;THINGEYRI
BITN  66.218333 -15.334722 64    ;THORSHOFN
BIVM  63.425000 -20.279167 326   ;VESTMANNAEYJAR
BIVO  65.720556 -14.850556 10    ;VOPNAFJORDUR
BKPR  42.572778  21.035833 1794  ;PRISTINA
C01A  62.943611-152.270017 1950  ;PURKEYPILE
C0AK  61.934556-162.899556 305   ;PILOT STATION
C15Z  61.437061-142.903736 1531  ;MCCARTHY
C16A  60.906011-162.440592 12    ;NUNAPITCHUK
C1KC  64.424447-156.843339 1598  ;KALAKAKET CREEK AS
C20K  65.353981-149.762225 1550  ;QUAIL CREEK
C2AK  61.359131-155.440386 545   ;LIME VILLAGE
C2K5  63.393872-153.268972 650   ;TELIDA
C2Z2  65.175911-150.220539 700   ;EUREKA CREEK
C3T4  63.124694-142.518556 1671  ;TETLIN
C3Z1  64.831667-166.131500 325   ;FEATHER RIVER
C4A2  60.867139-162.273389 23    ;ATMAUTLUAK
C4AK  65.472617-148.669172 425   ;LIVENGOOD CAMP
C4K0  59.796956-154.129978 78    ;PEDRO BAY
C4K5  57.942222-152.465000 100   ;OUZINKIE
C4KA  60.575547-165.271647 14    ;TUNUNAK
C4Z9  59.452161-151.522381 5     ;JAKOLOF BAY
C51Z  65.148167-149.368583 500   ;MINTO AL WRIGHT
C5A8  59.282556-158.617867 63    ;ALEKNAGIK NEW
C5BK  63.535147-145.860886 2125  ;BLACK RAPIDS
C5CD  68.065439-149.579739 3222  ;CHANDALAR SHELF
C5HO  60.904150-149.623839 200   ;HOPE
C5KS  60.353308-151.262772 125   ;KASILOF
C5NK  58.732881-157.019919 70    ;NAKNEK
C5QC  65.405933-164.655725 416   ;QUARTZ CREEK KOUGAROK
C5Z5  63.541714-150.993956 1575  ;KANTISHNA
C6AK  62.084142-152.717525 1900  ;RAINY PASS LODGE
C6R7  57.218472-153.269250 55    ;OLD HARBOR
C76Z  58.927606-157.047153 50    ;NAKEEN
C94Z  64.511422-165.390231 69    ;NOME CITY
C95Z  64.759167-147.387667 483   ;BRADLEY SKY RANCH
C9A8  57.523425-157.395995 25    ;UGASHIK
C9Z8  59.128083-156.858639 39    ;LEVELOCK
C9Z9  60.411097-149.370195 475   ;LAWING
CA13  61.341339-148.998881 900   ;BOLD
CA35  38.016867-122.520808 5     ;SAN RAFAEL
CA57  59.199217-138.451000 30    ;ALSEK RIVER
CA61  60.335345-162.667008 16    ;TUNTUTULIAK
CA63  59.074525-160.275042 82    ;TWIN HILLS
CA70  59.404717-139.232933 50    ;DANGEROUS RIVER
CA79  56.255881-158.775361 50    ;CHIGNIK LAKE
CA88  36.026075-120.907684 441   ;SAN ARDO
CA92  39.710556-121.616500 1300  ;PARADISE SKYPARK
CAA8  50.516667-116.001111 2820  ;INVERMERE
CAD4  49.055556-117.609167 1427  ;TRAIL
CAD5  50.123611-120.743889 2080  ;MERRITT
CAE4  53.016667-124.833334 3450  ;TSACHA LAKE
CAF4  51.533333-124.166667 4000  ;TSUNIAH LAKE LODGE
CAG2  50.597778-104.601111 1980  ;AEROGATE
CAG3  51.626111-124.141944 3850  ;CHILKO LAKE TSYLOS PARK LODGE
