;Worldwide Navaid Database for PSS
;Exported via DFD v1.0 13.0401
;Software copyright (c) 2013 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;This data is copyrighted and may not be used, recompiled, interpreted or
;distributed for any purpose without the written consent
;of Navigraph.
;
;The contents of this database is dated and must not be
;used for real world navigation as it is unlawful and
;unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1304 (04/APR/2013 - 01/MAY/2013) - Ver.1
;------------------------------------------------------
AIO   41.403978 -95.046258  365.00 ;ATLANTIC
AIT   46.548303 -93.675436  397.00 ;AITKIN
AIX   60.385031-166.214775  323.00 ;NANWAK MEKORYUK
AIZ   38.096619 -92.553072  377.00 ;KAISER
AJ   -12.132028  44.428586  369.00 ;ANJOUAN
AJ    30.750000  49.683333  365.00 ;AGHAJARI
AJ    56.193333  92.407222  334.00 ;KRASNOYARSK
AJ    56.517500  34.936389  430.00 ;STARITSA
AJA   13.453500 144.736917  385.00 ;MOUNT MACAJNA GUAM
AJR   34.501489 -83.549895  347.00 ;HABERSHAM CORNELIA
AK     7.227114   5.292178  276.00 ;AKURE
AK    25.630189  51.507328  345.00 ;AL KHOR
AK    34.527778 136.696667  380.00 ;AKENO
AK    34.583972  33.012539  365.00 ;AKROTIRI
AK    41.069733 -81.387367  362.00 ;AKRON
AK    41.069756 -81.387472  362.00 ;AKRON
AK    51.060278  71.526111  318.00 ;ASTANA
AKI    4.630306 114.371695  250.00 ;ANDUKI
AKL   33.191056 -99.720008  407.00 ;HASKELL
AKP   68.136625-151.744228  348.00 ;ANAKTUVUK PASS
AKQ   36.982820 -77.000972  274.00 ;WAKEFIELD
AKU   68.678389  27.614628  432.00 ;AKUJARVI IVALO
AKW   55.568639-133.079333  229.00 ;KLAWOCK
AL   -17.825834 177.386945  385.00 ;MALOLO NADI
AL    -6.193961 107.040028  215.00 ;HALIM JAKARTA
AL    -1.376083  36.933031  379.00 ;EMBAKASI NAIROBI
AL     5.569178  -0.181781  258.00 ;ACCRA
AL    14.220289 121.924031  247.00 ;ALABAT
AL    18.314306 109.507631  205.00 ;SANYA
AL    38.855009 -89.938061  218.00 ;ALPOS ALTON-ST LOUIS
AL    41.030861  -5.446945  359.00 ;MATACAN SALAMANCA
AL    42.622167 -92.509417  382.00 ;PRICE WATERLOO
AL    42.817306 -73.808500  219.00 ;HAWKY ALBANY
AL    46.175567-118.196358  353.00 ;TRINA WALLA WALLA
AL    53.680278  41.679722  694.00 ;ALGASOVO
AL    56.967500  40.856111  326.00 ;YUZHNY IVANOVO
AL    61.700833  96.475833  326.00 ;BAYKIT
AL    62.596067   6.221517  398.00 ;LEPSOY ALESUND
ALA   69.992289  23.293161  358.00 ;ALTA
ALB   35.938056  -3.035278  519.00 ;ALBORAN
ALD   49.708870  -2.199772  383.00 ;ALDERNEY
ALE    6.394722 -75.141111  412.50 ;ALEJANDRIA
ALE   36.185997  37.223297  396.00 ;ALEPPO
ALG  -25.369722 -54.761389  293.00 ;CIUDAD DEL ESTE
ALG   40.639972   8.291639  382.00 ;ALGHERO
ALG   47.997406  10.262200  341.00 ;ALLGAU MEMMINGEN
ALI   30.166944  31.385000  310.00 ;CAIRO
ALJ   60.479822-146.587431  233.00 ;ORCA BAY HINCHINBROOK
ALM   43.507786   5.366872  413.00 ;AIX-LES-MILLES
ALP   40.855834  25.940870  351.00 ;ALEX ALEXANDROUPOLIS
ALP   42.238697 -76.764050  245.00 ;ALPINE ELMIRA
ALS   30.320389  -9.319528  396.00 ;AL-MASSIRA AGADIR
ALU   35.181167  -3.844556  401.00 ;AL HOCEIMA
ALU   42.043214-102.799472  380.00 ;ALLIANCE
AM     6.057692  37.602350  275.00 ;ARBA MINCH
AM    20.988759 105.861386  294.00 ;GIALAM HANOI
AM    27.861184 -82.545797  388.00 ;PICNY TAMPA
AM    27.861247 -82.545820  388.00 ;PICNY TAMPA
AM    35.146469-101.805545  251.00 ;PANDE AMARILLO
AM    36.875834  -2.239917  284.00 ;ALMERIA
AM    61.344167  73.504806  325.00 ;SURGUT
AMB  -27.648761 152.723508  359.00 ;AMBERLEY
AMB   -1.213333 -78.576667  360.00 ;AMBATO
AMB   47.418167   1.041000  341.00 ;AMBOISE
AME   41.499945  15.837806  334.00 ;AMENDOLA
AMF   67.106761-157.857995  403.00 ;AMBLER
AMK  -30.453533 137.166594  206.00 ;ANDAMOOKA
AML   30.323639  -9.454667  402.00 ;AL-MASSIRA AGADIR
AML   37.775833  21.347222  367.00 ;AMALIAS
AMN   36.848361  -2.379167  310.00 ;ALMERIA
AMP    2.068872 -50.860570  275.00 ;AMAPA
AMT   38.855414 -83.563775  359.00 ;WEST UNION
AN    -9.752417-139.001222  294.00 ;ATUONA
